,ID,Fuel Type Code,Station Name,Street Address,City,State,Status Code,Expected Date,Groups With Access Code,Access Days Time,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date
0,73389,ELEC,ComEd,2 Lincoln Center,Oakbrook Terrace,IL,E,,Private,,,Non-Networked,,200-9,41.845827,-87.985467,03/07/2022,T,,,11/12/2013
19,47214,ELEC,Gerald Nissan,1575 W Ogden Ave,Naperville,IL,E,,Private,,,Non-Networked,,200-9,41.766972,-88.187306,03/07/2022,P,,,01/31/2012
23,46812,ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,E,,Private,,,Non-Networked,,200-9,42.226647,-88.306745,06/09/2020,P,,,01/31/2012
25,114187,ELEC,La Banque Hotel - Tesla Destination,2034 Ridge Rd,Homewood,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.56213,-87.666663,10/06/2022,P,,,01/28/2016
27,230199,ELEC,NOW Foods,1620 Central Ave,Roselle,IL,E,,Public - Credit card at all times,Contact station for hours of availability.,,AMPUP,https://ampup.io/,200-9,41.983673,-88.12415,10/11/2022,P,,,09/15/2022
39,114167,ELEC,Wyndham Chicago O'Hare - Tesla Destination,1450 Touhy Ave,Des Plaines,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,42.0103814,-87.887338,10/06/2022,P,,,04/13/2018
49,114193,ELEC,Hotel Indigo Naperville Riverwalk - Tesla Destination,120 Water St,Naperville,IL,E,,Public,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.7706981,-88.1502517,10/06/2022,P,,,02/28/2018
52,237623,ELEC,Meijer - Tesla Supercharger,815 S Randall Rd,Elgin,IL,E,,Public,24 hours daily,,Tesla,https://www.tesla.com/supercharger,GPS,42.012497,-88.335638,01/10/2023,P,,,10/26/2022
66,60987,ELEC,Western Avenue Nissan,7410 S Western Ave,Chicago,IL,E,,Public - Call ahead,Dealership business hours,,Non-Networked,,200-9,41.758552,-87.683346,06/09/2020,P,,,02/01/2014
75,169699,ELEC,Best Western - Hawthorne Terrace,3434 N Broadway Ave,Chicago,IL,E,,Public,24 hours daily,,AMPUP,https://ampup.io/,200-9,41.944195,-87.645488,09/10/2021,P,,,12/01/2020
